mean [tax_paid] of consumers,mean [tax_collected] of consumers,mean [asked_someone_to_broker] of consumers,mean [brokered_for_someone] of consumers,mean [brokered_for_new_user] of consumers,mean [pinched] of consumers,mean [selling_price] of dealers,count dealers,count consumers
0.0,1309.851485148515,127.05940594059406,67.35643564356435,67.34653465346534,11.212726211705792,116.80769230769229,26,101
0.0,1146.82,139.89,58.85,58.71,9.51717842323651,120.5,20,100
0.0,759.8484848484848,157.74747474747474,38.72727272727273,38.414141414141405,7.368441698538784,103.0,7,99
1144.4242424242425,1149.111111111111,156.31313131313132,58.70707070707071,58.48484848484848,9.342366757000901,123.0,6,99
0.0,905.1010101010099,153.35353535353536,46.595959595959606,46.64646464646464,7.366030601025515,122.875,8,99
1124.62,1124.62,154.93,57.12,57.12,8.86691195795007,126.83333333333331,6,100
0.0,879.8989898989901,153.98989898989902,45.535353535353536,45.373737373737384,6.9353893969278575,126.75,8,99
0.0,922.28,150.99,47.19,47.19,7.53907356948229,122.33333333333331,9,100
1140.21,1140.21,154.92,58.76,58.76,8.50902985074627,134.0,7,100
0.0,880.3939393939394,153.57575757575756,45.30303030303031,45.14141414141414,7.233283539621572,121.71428571428572,7,99
0.0,734.010101010101,156.6969696969697,37.737373737373744,38.14141414141414,5.600740226694425,131.0,4,99
0.0,805.2222222222223,156.37373737373738,41.09090909090909,41.070707070707066,8.800242865816637,91.5,4,99
1039.4158415841582,1039.4158415841582,155.29702970297032,53.37623762376238,53.37623762376238,8.249332076064752,126.0,7,101
0.0,709.2115384615386,152.1730769230769,36.509615384615394,36.509615384615394,6.236784885968302,113.71428571428572,7,104
0.0,817.83,156.08,42.06,42.06,7.096138828633405,115.25,8,100
0.0,829.6868686868687,154.14141414141417,42.42424242424242,43.51515151515152,6.030953354940892,137.57142857142858,7,99
1196.29,1196.29,153.36,62.42,62.42,8.686753112033195,137.71428571428572,7,100
0.0,816.1683168316832,153.41584158415841,42.336633663366335,42.336633663366335,7.114792301147922,114.71428571428572,7,101
0.0,826.5142857142857,146.32380952380953,42.38095238095238,42.58095238095238,6.647567981616242,124.33333333333331,6,105
983.7058823529413,983.7058823529413,153.99019607843138,50.92156862745098,50.92156862745098,7.001465354825203,140.5,4,102
0.0,743.0098039215686,153.91176470588238,38.049019607843135,38.049019607843135,5.963160545116921,124.6,5,102
1276.4141414141413,1278.3030303030305,154.03030303030303,65.78787878787878,65.6969696969697,12.350753915971307,103.5,8,99
0.0,849.88,154.98,43.7,43.7,7.797064220183485,109.0,7,100
0.0,793.0388349514564,151.40776699029126,40.737864077669904,40.737864077669904,6.513665995494508,121.75,8,103
0.0,777.2178217821782,155.36633663366337,39.762376237623755,39.762376237623755,6.57730173581533,118.16666666666669,6,101
1027.7623762376238,1027.7623762376238,155.26732673267327,52.98019801980198,52.98019801980198,8.11391349661282,126.66666666666669,6,101
0.0,942.51,150.28,47.69,47.69,6.896414634146343,136.66666666666666,6,100
0.0,773.44,156.09,39.72,39.72,6.56252121212121,117.85714285714286,7,100
0.0,962.48,148.5,49.13,49.13,8.36211989574283,115.1,10,100
1129.84,1129.84,154.65,57.95,57.95,9.32650943396226,121.14285714285714,7,100
0.0,910.3960396039604,150.65346534653466,46.86138613861386,46.86138613861386,7.275892424407278,125.125,8,101
1101.58,1086.18,153.17,56.07,56.87,9.398343634116193,115.57142857142857,7,100
0.0,802.504761904762,147.26666666666668,41.27619047619048,41.27619047619048,6.995682855956828,114.71428571428572,7,105
0.0,936.93,151.67,48.22,48.22,8.147217391304352,115.0,9,100
1122.1782178217825,1122.1782178217825,153.21782178217822,57.1980198019802,57.1980198019802,9.115166029238301,123.11111111111113,9,101
