"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"100","3","25","100","1","10","50","24","5","1","50","17280","0","905.06","150.41","46.42","46.6","6.967955517536357","129.88888888888889","9","100"
"101","3","25","100","1","10","50","24","5","5","10","17280","0","1027.7575757575758","146.5151515151515","53.111111111111114","53.75757575757576","7.507359939792372","136.9","10","99"
"102","3","25","100","1","10","50","24","5","5","10","17280","0","972.0927835051547","151.95876288659792","50.03092783505155","49.391752577319586","8.33698785167371","116.6","10","97"
"103","3","25","100","1","10","50","24","5","5","10","17279","1339.8265306122448","1346.5408163265306","151.87755102040816","69.04081632653062","68.70408163265306","11.200431928778903","120.22222222222223","9","98"
"104","3","25","100","1","10","50","24","5","5","10","17280","0","1044.8989898989898","147.15151515151516","53.81818181818182","53.676767676767675","8.0171277997365","130.33333333333334","12","99"
"105","3","25","100","1","10","50","24","5","5","10","17280","0","1123.0520833333333","144.28125","57.4375","56.791666666666664","8.687463373183308","129.27272727272728","11","96"
"106","3","25","100","1","10","50","24","5","5","10","17280","0","1029.111111111111","147.53535353535352","52.86868686868687","52.82828282828283","8.089082969432315","127.22222222222223","9","99"
"107","3","25","100","1","10","50","24","5","5","10","17279","1401.97","1407.6","149.69","71.96","71.67","10.767454798331016","130.72727272727272","11","100"
"110","3","25","100","1","10","50","24","5","5","10","17280","0","900.4059405940594","150.7128712871287","46.40594059405941","46.40594059405941","6.804075117839237","132.33333333333334","6","101"
"111","3","25","100","1","10","50","24","5","5","50","17279","1346.5204081632653","1365.1326530612246","151.5204081632653","70.39795918367346","69.39795918367346","9.977713743304632","136.8181818181818","11","98"
"109","3","25","100","1","10","50","24","5","5","10","17280","0","999.9306930693069","147.4851485148515","51.198019801980195","51.198019801980195","7.8051832069590334","128.11111111111111","9","101"
"108","3","25","100","1","10","50","24","5","5","10","17280","0","1127.1616161616162","143.14141414141415","57.55555555555556","57.44444444444444","10.600265982711123","106.33333333333333","12","99"
"113","3","25","100","1","10","50","24","5","5","50","17279","1225.39","1235.75","150.64","63.52","62.99","9.598058252427183","128.75","8","100"
"114","3","25","100","1","10","50","24","5","5","50","17280","0","1056.8316831683169","144.64356435643563","53.851485148514854","53.86138613861386","8.867390171511428","119.18181818181819","11","101"
"112","3","25","100","1","10","50","24","5","5","50","17280","0","1112.55","139.88","57.08","58.3","8.420038095238095","131.25","16","100"
"115","3","25","100","1","10","50","24","5","5","50","17280","0","1073.1145833333333","146.22916666666666","54.697916666666664","55.770833333333336","9.186194876783402","116.81818181818181","11","96"
"116","3","25","100","1","10","50","24","5","5","50","17279","1287.9","1281.47","148.17","65.32","65.67","9.167909379968206","139.77777777777777","9","100"
"118","3","25","100","1","10","50","24","5","5","50","17280","0","961.3229166666666","153.20833333333334","49.166666666666664","49.135416666666664","7.6599435590969485","125.5","8","96"
"117","3","25","100","1","10","50","24","5","5","50","17280","0","1088.7448979591836","143.27551020408163","55.8469387755102","56.51020408163265","8.780200789993419","124","14","98"
"119","3","25","100","1","10","50","24","5","5","50","17280","0","1089.1650485436894","137.81553398058253","56.00970873786408","56.00970873786408","8.972842605239522","121.38461538461539","13","103"
"120","3","25","100","1","10","50","24","5","5","50","17279","1250.9313725490197","1251.0980392156862","148.42156862745097","64.23529411764706","64.22549019607843","10.109883145177264","123.75","8","102"
"121","3","25","100","1","10","50","24","10","1","10","17280","0","1160.408163265306","141.6734693877551","59.47959183673469","59.224489795918366","9.22456190956948","125.77777777777777","18","98"
"122","3","25","100","1","10","50","24","10","1","10","17280","0","1221.6020408163265","136.30612244897958","62.6530612244898","62.62244897959184","9.763049533208397","124.94736842105263","19","98"
"124","3","25","100","1","10","50","24","10","1","10","17279","1595.59","1597.3","145.77","82.03","81.92","12.095030761949834","132.0625","16","100"
"123","3","25","100","1","10","50","24","10","1","10","17280","0","1124.1818181818182","140.06060606060606","57.64646464646464","57.78787878787879","8.714587737843553","129","18","99"
"127","3","25","100","1","10","50","24","10","1","10","17279","1412.8775510204082","1415.908163265306","151.41836734693877","72.5204081632653","72.34693877551021","10.507667259853852","134.75","12","98"
"125","3","25","100","1","10","50","24","10","1","10","17280","0","1162.9375","140.71875","59.9375","60.614583333333336","9.809679460143398","118.55","20","96"
"126","3","25","100","1","10","50","24","10","1","10","17280","0","1287.2857142857142","133.94897959183675","66.10204081632654","65.48979591836735","10.807404481149659","119.04347826086956","23","98"
"128","3","25","100","1","10","50","24","10","1","10","17280","0","1155.030303030303","138.75757575757575","59.80808080808081","59.90909090909091","9.111607958939747","126.76470588235294","17","99"
"129","3","25","100","1","10","50","24","10","1","10","17279","1609.5757575757575","1618.2929292929293","146.0909090909091","82.6969696969697","82.34343434343434","12.600723587375418","128.42857142857142","14","99"
"130","3","25","100","1","10","50","24","10","1","10","17280","0","1233.3917525773195","134.28865979381445","62.88659793814433","62.88659793814433","10.044588415967315","122.79166666666667","24","97"
"131","3","25","100","1","10","50","24","10","1","50","17280","0","1346.7551020408164","125.8061224489796","68.40816326530613","68.4795918367347","11.054933881573431","121.76666666666667","30","98"
"132","3","25","100","1","10","50","24","10","1","50","17280","0","1275.5841584158416","128.24752475247524","65.35643564356435","65.35643564356435","10.56646917176807","120.72","25","101"
"133","3","25","100","1","10","50","24","10","1","50","17279","1191.990291262136","1191.990291262136","148.58252427184465","61.09708737864078","61.09708737864078","8.650147251539444","137.8","10","103"
"134","3","25","100","1","10","50","24","10","1","50","17280","0","1210.4040404040404","136.07070707070707","62.37373737373738","62.07070707070707","9.659872174842237","125.25","20","99"
"137","3","25","100","1","10","50","24","10","1","50","17279","1631.0204081632653","1634.091836734694","148.07142857142858","84.12244897959184","83.98979591836735","11.48865228473523","142.23529411764707","17","98"
